EicCode;EicDisplayName;EicLongName;EicParent;EicResponsibleParty;EicStatus;MarketParticipantPostalCode;MarketParticipantIsoCountryCode;MarketParticipantVatCode;EicTypeFunctionList;type
11W0-0000-0037-R;LUDWHN_WERK;BASF SE Werk Verbrauch;;;Active;;;;Load;W
11W0-0000-0038-O;HKWD;Heizkraftwerk Dieselstraße;;11XEVHALLE-747-Y;Active;;;;Generation;W
11W0-0000-0039-L;HKWD-A-GT;Heizkraftwerk Dieselstraße Block A Gasturbine;;11XEVHALLE-747-Y;Active;;;;Generation Unit;W
11W0-0000-0040-7;HKWD-A-DT;Heizkraftwerk Dieselstraße Block A Dampfturbine;;11XEVHALLE-747-Y;Active;;;;Generation Unit;W
11W0-0000-0041-4;HKWD-B-GT;Heizkraftwerk Dieselstraße Block B Gasturbine;;11XEVHALLE-747-Y;Active;;;;Generation Unit;W
11W0-0000-0042-1;HKWD-B-DT;Heizkraftwerk Dieselstraße Block B Dampfturbine;;11XEVHALLE-747-Y;Active;;;;Generation Unit;W
11W0-0000-0043-Z;KW_DATTELN_4;KW_Datteln_4;;11XRUHRENERGIE-J;Active;;;;Generation;W
11W0-0000-0044-W;DATTELN_4;Datteln_4;;;Active;;;;Generation Unit;W
11W0-0000-0048-K;BATTERIE-TANZM;Batteriespeicher-Pfreimd-Tanzmuehle;;11X0-0000-0525-Z;Active;;;;Generation Unit;W
11W0-0000-0049-H;VOELKLINGEN_MHK;Gasmotorenheizkraftwerk Völklingen;;11X0-0000-0706-U;Active;;;;Generation Unit;W
11W0-0000-0051-0;BMK_LUENEN;Biomassekraftwerk Lünen;;11X0-0000-0706-U;Active;;;;Generation Unit;W
11W0-0000-0052-Y;BMK_LUENEN_KW;BMK Lünen_KW;;11X0-0000-0706-U;Active;;;;Generation;W
11W0-0000-0080-S;VOELKLINGEN_GT;Völklingen Fenne GT;;11XSTEAG-------N;Active;;;;Generation Unit;W
11W0-0000-0095-9;MERKUR;Merkur Offshore GmbH;;;Active;;;;Generation;W
11W0-0000-0098-0;LICH_GT;Lichterfelde GT;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0099-Y;LICH_DT;Lichterfelde DT;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0100-I;MARZ_ST;Marzahn ;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0101-F;MARZ_GT;Marzahn GT;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0102-C;MARZ_DT;Marzahn DT;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0103-9;LICH_G;Lichterfelde GUD;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0104-6;MARZ_G;Marzahn GUD;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0105-3;TAE;TRIMET Aluminium Essen ;;11XTRIMET------I;Active;;;;Load;W
11W0-0000-0106-0;TAV;TRIMET Aluminium Voerde;;11XTRIMET------I;Active;;;;Load;W
11W0-0000-0107-Y;THH;TRIMET Aluminium Hamburg;;11XTRIMET------I;Active;;;;Load;W
11W0-0000-0109-S;D4_VIW_OVW2_M1;VIW_Obervermunt2_M1;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0110-E;D4_VIW_OVW2_M2;VIW_Obervermunt2_M2;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0111-B;D4_VIW_OVW2_SUM;VIW_Obervermunt2_Summe;;11XENBW-H------P;Active;;;;Production Unit;W
11W0-0000-0112-8;GOLD_OB;Goldisthal Oberbecken;;11XWASSERKRAFT-N;Active;;;;Storage Plant;W
11W0-0000-0113-5;MARK_OB;Markersbach Oberbecken;;11XWASSERKRAFT-N;Active;;;;Storage Plant;W
11W0-0000-0114-2;FREIMANN_GT11;SWM_HKW_FREIMANN_GT11;;;Active;;;;Generation;W
11W0-0000-0116-X;FREIMANN_GT12;SWM_HKW_FREIMANN_GT12;;;Active;;;;Generation;W
11W0-0000-0117-U;BESS_JARDELUND;BESS Jardelund;;11XENECO-------0;Active;;;;Production Unit;W
11W0-0000-0118-R;BESS_JDL_GEN;BESS Jardelund Generation;;11XENECO-------0;Active;;;;Generation Unit;W
11W0-0000-0120-A;KUEHTAI-KW-PU;Kuehtai-PU_TIWAG;;11XTIWAG-HANDEL5;Active;;;;Generation;W
11W0-0000-0121-7;KUEHTAI-M1-PU;Kuehtai-M1-PU TIWAG;;11XTIWAG-HANDEL5;Active;;;;Generation;W
11W0-0000-0122-4;KUEHTAI-M2-PU;Kuehtai-M2-PU TIWAG;;11XTIWAG-HANDEL5;Active;;;;Generation;W
11W0-0000-0123-1;AW_SP_ACHEN;AW_Speicher Achensee;;11XTIWAG-HANDEL5;Active;;;;Generation;W
11W0-0000-0124-Z;SI_SP_LAENG;SI_Speicher Längental;;11XTIWAG-HANDEL5;Active;;;;Generation;W
11W0-0000-0125-W;KU_SP_FINST;KU_Speicher Finstertal;;11XTIWAG-HANDEL5;Active;;;;Generation;W
11W0-0000-0126-T;KTW_SP_GEPAT;KtW_Speicher Gepatsch;;11XTIWAG-HANDEL5;Active;;;;Generation;W
11W0-0000-0131-3;DDA_STADE_TENNET;Dow Deutschland Anlagengesellschaft Werk Stade Übergabepunkt Tennet;;;Active;;;;Load;W
11W0-0000-0132-0;SPE_KOEPCHENWERK;Speicher Köpchenwerk;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0133-Y;SPE_KAUNERTAL;Wasserspeicher Kaunertal;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0134-V;SPE_HAEUSERN;Häusern Pumpspeicher;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0135-S;SPE_WALDSHUT;Waldshut Pumpspeicher;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0136-P;SPE_WITZNAU;Witznau Pumpspeicher;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0137-M;SPE_SAECKINGEN;Säckingen Pumpspeicher;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0138-J;SPE_WEHR;Wehr Pumpspeicher;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0139-G;SPE_VIANDEN;Pumpspeicher Vianden;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0140-2;HYDRO-SCHWAMM-P;HYDRO-SCHWAMMENAUEL-PLANT;;11X0-0000-0563-P;Active;;;;Generation;W
11W0-0000-0142-X;HYDRO-SCHWAMM-G;HYDRO-SCHWAMMENAUEL-GENERATOR;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0143-U;HYDRO-RADAG-WKWP;HYDRO-RADAG-WEHRKRAFTWERK-PLANT;;11X0-0000-0563-P;Active;;;;Generation;W
11W0-0000-0144-R;HYDRO-RADAG-WKWG;HYDRO-RADAG-WEHRKRAFTWERK-GENERATOR;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0145-O;HYDRO-RADAG-MH-P;HYDRO-RADAG-MASCHINENHAUS-PLANT;;11X0-0000-0563-P;Active;;;;Generation;W
11W0-0000-0146-L;HYDRO-RADAG-MHG1;HYDRO-RADAG-MASCHINENHAUS-GENERATOR-1;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0147-I;HYDRO-RADAG-MHG2;HYDRO-RADAG-MASCHINENHAUS-GENERATOR-2;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0148-F;HYDRO-RADAG-MHG3;HYDRO-RADAG-MASCHINENHAUS-GENERATOR-3;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0149-C;D4_GKM_BL6;GKM_Block_6;;11XGKM-P-------6;Active;;;;Generation Unit;W
11W0-0000-0150-Z;D4_GKM_BL7;GKM_Block_7;;11XGKM-P-------6;Active;;;;Generation Unit;W
11W0-0000-0151-W;D4_GKM_BL8;GKM_Block_8;;11XGKM-P-------6;Active;;;;Generation Unit;W
11W0-0000-0152-T;AWE;AWE-Arkona-Windpark Entwicklungs-GmbH;;;Active;;;;Generation;W
11W0-0000-0153-Q;D4_STG_GAI_HKW3;Gaisburg_HKW3;;11XENBW-H------P;Active;;;;Production Unit;W
11W0-0000-0154-N;STG_GAI_HKW3_M1;Gaisburg_HKW3_M1;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0155-K;STG_GAI_HKW3_M2;Gaisburg_HKW3_M2;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0156-H;STG_GAI_HKW3_M3;Gaisburg_HKW3_M3;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0159-8;COV-BC-LEV;Covestro Basic Chemicals Leverkusen;;;Active;;;;Load;W
11W0-0000-0160-V;COV-BC-DOR;Covestro Basic Chemicals Dormagen;;;Active;;;;Load;W
11W0-0000-0161-S;COV-BC-UER;Covestro Basic Chemicals Uerdingen;;;Active;;;;Load;W
11W0-0000-0162-P;GHKW;Küstenkraftwerk K.I.E.L;;11X24SIEBEN----Q;Active;;;;Production Plant;W
11W0-0000-0163-M;GHKWKIEL;Küstenkraftwerk K.I.E.L;;11X24SIEBEN----Q;Active;;;;Production Unit;W
11W0-0000-0164-J;E-HEIZER_K1-3;E-Heizer Reuter West K1-3;;11XVE-BUHEATVK-I;Active;;;;Load;W
11W0-0000-0166-D;KWH_BAT;Herrenhausen KWH Batterie;;11XSWHANNOVERAG3;Active;;;;Generation;W
11W0-0000-0167-A;HOHESEE_OFFSHORE;Hohe_See-Erzeugungsanlage;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0168-7;ALBATROSS_OFFSH;Albatross-Erzeugung;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0169-4;HOHE_SEE_PROD;Hohe_See-Produktionsanlage;;11XENBW-H------P;Active;;;;Production Unit;W
11W0-0000-0170-R;ALBATROSS_PROD;Albatross-Produktionsanlage;;11XENBW-H------P;Active;;;;Production Unit;W
11W0-0000-0171-O;NORTHLAND_DBU;NORTHLAND DEUTSCHE BUCHT GMBH;;;Active;;;;Generation;W
11W0-0000-0177-6;BALTIC1_ERZ;Baltic1-Erzeugungsanlage;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0178-3;BALTIC2_ERZ;Baltic2-Erzeugungsanlage;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0180-N;HKW_DD_NORD;HKW Dresden-Nord;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0190-J;HKWD-C-GT;Heizkraftwerk Dieselstraße Block C Gasturbine;;11XEVHALLE-747-Y;Active;;;;Generation Unit;W
11W0-0000-0191-G;VB_BE_WIND;UW Bertikow Windkraft;;;Active;;;;Production Unit;W
11W0-0000-0196-1;KMW_KW2GT;KMW KW2 GT;;11XKMW---------H;Active;;;;Generation;W
11W0-0000-0197-Z;KMW_KW2DT;KMW KW2 DT;;11XKMW---------H;Active;;;;Generation;W
11W0-0000-0200-D;KW5;KW5;;11XKMW---------H;Active;;;;Generation;W
11W0-0000-0206-W;KSP__BIG_BATT_E;Schwarze Pumpe Big Battery Lausitz Entladen;;11XVEGENERATIONB;Active;;;;Generation;W
11W0-0000-0207-T;KSP__BIG_BATT_L;Schwarze Pumpe Big Battery Lausitz Laden;;11XVEGENERATIONB;Active;;;;Generation;W
11W0-0000-0208-Q;AHR-_GT_AB;Ahrensfelde AB - LEAG_AHF_AB_01;;11XVEGENERATIONB;Active;;;;Generation;W
11W0-0000-0209-N;AHR-_GT_CD;Ahrensfelde CD - LEAG_AHF_CD_02;;11XVEGENERATIONB;Active;;;;Generation;W
11W0-0000-0210-9;THY-_GT_AB;Thyrow AB - LEAG_Thy_AB_03;;11XVEGENERATIONB;Active;;;;Generation;W
11W0-0000-0211-6;THY-_GT_CDE;Thyrow CDE - LEAG_Thy_CDE_04;;11XVEGENERATIONB;Active;;;;Generation;W
11W0-0000-0212-3;NORDERGRUENDE;OWP Nordergründe GmbH & Co. KG;;;Active;;;;Generation;W
11W0-0000-0215-V;FANKEL;FANKEL;;11X0-0000-0563-P;Active;;;;Production Plant;W
11W0-0000-0216-S;EIF_DROHN;EIF_DROHN;;11X0-0000-0563-P;Active;;;;Resource Object;W
11W0-0000-0217-P;EIF_HEIMBACH;EIF_HEIMBACH;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0218-M;EIF_OLEF;EIF_OLEF;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0219-J;MOSEL_DETZEM;MOSEL_DETZEM;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0220-5;MOSEL_ENKIRCH;MOSEL_ENKIRCH;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0221-2;MOSEL_FANKEL;MOSEL_FANKEL;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0223-X;MOSEL_KOBLENZ;MOSEL_KOBLENZ;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0224-U;MOSEL_LEHMEN;MOSEL_LEHMEN;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0225-R;MOSEL_MUEDEN;MOSEL_MUEDEN;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0226-O;MOSEL_NEEF;MOSEL_NEEF;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0227-L;MOSEL_PALZEM;MOSEL_PALZEM;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0228-I;MOSEL_TRIER;MOSEL_TRIER;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0229-F;MOSEL_WINTRICH;MOSEL_WINTRICH;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0230-1;MOSEL_ZELTINGEN;MOSEL_ZELTINGEN;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0231-Z;SAAR_KANZEM;SAAR_KANZEM;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0232-W;SAAR_LISDORF;SAAR_LISDORF;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0233-T;SAAR_METTLACH;SAAR_METTLACH;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0234-Q;SAAR_REHLINGEN;SAAR_REHLINGEN;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0235-N;SAARSAARBRUECKEN;SAARSAARBRUECKEN;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0236-K;SAAR_SCHODEN;SAAR_SCHODEN;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0237-H;UR_BALDENEY;UR_BALDENEY;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0238-E;UR_HOHENSTEIN;UR_HOHENSTEIN;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0239-B;UR_KETTWIG;UR_KETTWIG;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0240-Y;SUED_GUD1_DT12;SWM_HKW_SUED_GUD1_DT12;;;Active;;;;Generation Unit;W
11W0-0000-0241-V;SUED_GUD1_GT11;SWM_HKW_SUED_GUD1_GT11;;;Active;;;;Generation Unit;W
11W0-0000-0245-J;GUD_HERNE_6;Gas- und Dampfturbinenheizkraftwerk Herne 6;;11X0-0000-0706-U;Active;;;;Generation Unit;W
11W0-0000-0262-K;RKR_M2;Rheinkraftwerk Reckingen M2;;11XENBW-H------P;Active;;;;Generation Unit;W
11W0-0000-0263-H;HERDECKEBATTERIE;Batterie Herdecke / Köpchenwerk;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0265-B;AMK_MHKW;AMK Müllheizkraftwerk;;;Active;;;;Generation Unit;W
11W0-0000-0276-4;KW-WYHL;Kraftwerk Wyhlen;;11X0-0000-0359-L;Active;;;;Generation;W
11W0-0000-0280-I;MERCER;Zellstoff Stendal_GmbH;;;Active;;;;Production Plant;W
11W0-0000-0282-C;DANNA_ERZ;Danna-Erzeugungsanlage;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0287-Y;D4_GKM_BL6_BL8;GKM_Pool_Block_6_und_Block_8;;11XGKM-P-------6;Active;;;;Generation;W
11W0-0000-0297-U;WEA_SALZGITTER;WEA Windpark Salzgitter;;11XVWKRAFTWERK-G;Active;;;;Generation;W
11W0-0000-0340-T;GUD-LPZ-NORD_;HKW Nord;;;Active;;;;Production Unit;W
11W0-0000-0344-H;GUD_SUED_GT31;Wolfsburg GuD Süd Gasturbine 31;;11XVOLKSWAGEN-1T;Active;;;;Generation;W
11W0-0000-0345-E;GUD_SUED_GT32;Wolfsburg GuD Süd Gasturbine 32;;11XVOLKSWAGEN-1T;Active;;;;Generation;W
11W0-0000-0346-B;GUD_SUED_DT;Wolfsburg GuD Süd Dampfturbine;;11XVOLKSWAGEN-1T;Active;;;;Generation;W
11W0-0000-0349-2;BHKW-JUNKERSDORF;BHKW-JUNKERSDORF;;11XRHEINENER-AG7;Active;;;;Generation;W
11W0-0000-0350-P;BHKW-MERHEIM;BHKW-MERHEIM;;11XRHEINENER-AG7;Active;;;;Generation;W
11W0-0000-0351-M;MERKENICH-B4;MERKENICH-B4;;11XRHEINENER-AG7;Active;;;;Generation;W
11W0-0000-0352-J;NIEHL-GTS;GTs HKW Niehl;;11XRHEINENER-AG7;Active;;;;Generation;W
11W0-0000-0353-G;WP_HOCHFELD;WP Hochfeld;;;Active;;;;Generation;W
11W0-0000-0356-7;LINDEN_GKL_GUD;Linden GKL GuD;;11XSWHANNOVERAG3;Active;;;;Generation Unit;W
11W0-0000-0373-8;HOHESEE_OFFSH1;Hohe_See-Erzeugung1;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0374-5;HOHESEE_OFFSH2;Hohe_See-Erzeugung2;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0375-2;HOHESEE_OFFSH3;Hohe_See-Erzeugung3;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0386-W;GOTTESGABE_ERZ;Gottesgabe Erzeugungsanlage;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0387-T;GOTTESGABE_PROD;Gottesgabe Produktion;;11XENBW-H------P;Active;;;;Production Unit;W
11W0-0000-0388-Q;ALTTREBBIN_ERZ;Alttrebbin Erzeugung;;11XENBW-H------P;Active;;;;Generation;W
11W0-0000-0389-N;ALTTREBBIN_PROD;Alttrebbin Produktion;;11XENBW-H------P;Active;;;;Production Unit;W
11W0-0000-0390-9;BUCH_GT;HKW Buch Gasturbine;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0391-6;BUCH_DT;HKW Buch Dampfturbine;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0392-3;KOEP_GT10;HKW Köpenick GT10;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0393-0;KOEP_GT20;HKW Köpenick GT20;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0402-Y;BUCH_STANDORT;HKW Buch Standort;;11XVE-BUHEATVK-I;Active;;;;Generation;W
11W0-0000-0405-P;GM_HKW_DD_REICK;GM HKW Dresden Reick;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0407-J;BWP_RK;Bürgerwindpark Reußenköge GmbH & Co. KG;;;Active;;;;Production Unit;W
11W0-0000-0408-G;AVA-VELSEN-GMBH;Saarbrücken AVA Velsen GmbH Abfallverwertungsanlage;;;Active;;;;Generation;W
11W0-0000-0409-D;HKWD-A;Heizkraftwerk Dieselstraße Block A;;11XEVHALLE-747-Y;Active;;;;Generation Unit;W
11W0-0000-0411-X;HKWD-B;Heizkraftwerk Dieselstraße Block B;;11XEVHALLE-747-Y;Active;;;;Generation Unit;W
11W0-0000-0412-U;HKWD-C;Heizkraftwerk Dieselstraße Block C;;11XEVHALLE-747-Y;Active;;;;Generation Unit;W
11W0-0000-0413-R;GM_HKW_DD_REICK1;GM HKW Dresden Reick Block 1;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0414-O;GUD_SUED;Wolfsburg GuD Süd;;11XVOLKSWAGEN-1T;Active;;;;Generation;W
11W0-0000-0424-K;GM_HKW_DDREICKM1;GM HKW Dresden Reick Motor 1 ;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0425-H;GM_HKW_DDREICKM2;GM HKW Dresden Reick Motor 2;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0426-E;GM_HKW_DDREICKM3;GM HKW Dresden Reick Motor 3;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0427-B;GM_HKW_DDREICKM4;GM HKW Dresden Reick Motor 4;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0428-8;GM_HKW_DDREICKM5;GM HKW Dresden Reick Motor 5;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0429-5;GM_HKW_DDREICKM6;GM HKW Dresden Reick Motor 6;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0430-S;GM_HKW_DDREICKM7;GM HKW Dresden Reick Motor 7;;11XDREWAG------E;Active;;;;Generation;W
11WD2BHAS000271O;BREMEN_HASTEDT;Bremen Hastedt;;;Active;;;;Generation;W
11W0-0000-0431-P;GM_HKW_DDREICKM8;GM HKW Dresden Reick Motor 8;;11XDREWAG------E;Active;;;;Generation;W
11W0-0000-0432-M;CRYSTAL_ENBW;FSG Crystal EnBW;;;Active;;;;Gas Storage Facility;W
11W0-0000-0433-J;BAR_GENERATION;Bar Generation;;;Active;;;;Generation;W
11W0-0000-0434-G;SG_GENERATION;SG Generation;;;Active;;;;Generation;W
11W0-0000-0435-D;HH_HAR_GENERATIO;HH Har Generation;;;Active;;;;Generation;W
11W0-0000-0438-4;RIESA_BHKW2;Riesa BHKW 2;;;Active;;;;Generation;W
11W0-0000-0440-O;GT_BIBLIS;Gasturbinenkraftwerk Biblis;;11X0-0000-0563-P;Active;;;;Generation;W
11W0-0000-0441-L;BIBLIS_GT;Biblis Gasturbinen;;11X0-0000-0563-P;Active;;;;Generation Unit;W
11W0-0000-0467-W;SCHOLVEN_GUD;Scholven GuD-Anlage;;11XRUHRENERGIE-J;Active;;;;Generation Unit;W
11W0-0000-0474-0;HKW_LPZ_SUED;Heizkraftwerk Leipzig Süd;;;Active;;;;Production Unit;W
11W0-0000-0475-Y;HKW_LPZ_SUED_9A;Heizkraftwerk Leipzig Süd GTA 9A;;;Active;;;;Generation;W
11W0-0000-0476-V;HKW_LPZ_SUED_9B;Heizkraftwerk Leipzig Süd GTA 9B;;;Active;;;;Generation;W
11W0-0000-0492-Z;AO1;Arcadis Ost 1;;;Active;;;;Generation Unit;W
11W0-0000-0494-T;BREMEN_BHKW;Bremen Hastedt BHKW;;;Active;;;;Generation;W
11W0-0000-0495-Q;GER_BAT_1;Batterie 117+ Gersteinwerk;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0496-N;EMS_BAT_1;Batterie 117+ Emsland;;11XRWETRADING--0;Active;;;;Storage Plant;W
11W0-0000-0503-Q;GAMOR;Gasmotorenkraftwerk Roemerbruecke;;11XESLL--------Z;Active;;;;Generation;W
11W0-0000-0512-P;KASKASI;RWE Kaskasi GmbH;;;Active;;;;Generation;W
11W0-0000-0513-M;KASKASI-2;RWE Kaskasi GmbH;;;Active;;;;Generation;W
11W0-0000-0515-G;D4_GKM_BL6BL7BL8;GKM_Pool_Block_6_Block_7_Block_8;;11XGKM-P-------6;Active;;;;Generation;W
11W0-0000-0516-D;PV_INDEN_BATTERY;PVA Inden Battery ;;;Active;;;;Production Unit;W
11W0-0000-0518-7;WP_GREVENBROICH;Windpark Grevenbroich;;;Active;;;;Generation Unit;W
11W0-0000-0519-4;PV_GARZWEILER;PVA Garzweiler;;;Active;;;;Production Unit;W
11W0-0000-0520-R;BATTERY_GARZW;Battery Garzweiler;;;Active;;;;Production Unit;W
11W0-0000-0638-V;BOITZENBURGER_PV;Boitzenburger Land;;11XMAINOVA-----9;Active;;;;Generation Unit;W
11W0-0000-0647-U;GBS-BEXBACH_2;GBS-BEXBACH_2;;11X0-0000-0706-U;Active;;;;Storage Plant;W
11W0-0000-0648-R;GBS-WEIHER;GBS-WEIHER;;11X0-0000-0706-U;Active;;;;Storage Plant;W
11W0-0000-0649-O;GBS-HERNE;GBS-HERNE;;11X0-0000-0706-U;Active;;;;Storage Plant;W
11W0-0000-0651-7;GBS-WALSUM;GBS-WALSUM;;11X0-0000-0706-U;Active;;;;Storage Plant;W
11W0-0000-0652-4;GBS-BEXBACH;GBS-BEXBACH;;11X0-0000-0706-U;Active;;;;Storage Plant;W
11W0-0000-0653-1;PV_JACKERATH;PVA Jackerath;;;Active;;;;Production Unit;W
11W0-0000-0654-Z;BATTERY_JACK;Battery Jackerath;;;Active;;;;Production Unit;W
11W0-0000-0656-T;HENW-PTH-WEDEL;HENW PtH-Wedel;;11X0-0000-0484-J;Active;;;;Load;W
11W0-0000-0657-Q;BOITZENBURG_PV;Boitzenburger Land;;11XMAINOVA-----9;Active;;;;Production Unit;W
11W0-0000-0667-M;GUD_WEST_40;Wolfsburg GuD West 40;;11XVOLKSWAGEN-1T;Active;;;;Generation;W
11W0-0000-0668-J;GUD_WEST_50;Wolfsburg GuD West 50 ;;11XVOLKSWAGEN-1T;Active;;;;Generation;W
11W0-0000-0669-G;GUD_WEST_GT40;Wolfsburg GuD West Gasturbine 40 ;;11XVOLKSWAGEN-1T;Active;;;;Generation;W
