,country,name,fuel_type,capacity_mw,latitude,longitude,osm_id
89,BE,Unnamed,solar,Unknown,50.9377339,5.4831898,1200779037
90,BE,Unnamed,solar,Unknown,50.9374144,5.4832016,1200779038
91,BE,Unnamed,solar,Unknown,50.9374235,5.4840703,1200779039
92,BE,LCL Wallonia One Solar Park,solar,1.6 MW,50.5030103,4.7192655,1212388262
93,BE,Parc photovoltaïque de Braine-l'Alleud,solar,yes,50.702264,4.3428777,1215776422
94,BE,Ochain Energie,biomass,600 kW,50.4254765,5.3725459,1219866609
95,BE,Unnamed,solar,yes,50.6291346,3.7652631,1220047332
96,BE,Unnamed,solar,Unknown,51.2907201,5.0274919,1222781395
97,BE,Unnamed,solar,Unknown,50.9485895,5.478517,1261817304
98,BE,Unnamed,solar,Unknown,50.948097,5.4781135,1261817305
99,BE,Unnamed,solar,Unknown,50.9385197,3.7765024,1298628326
100,BE,Unnamed,solar,yes,50.9451892,4.3947977,1298881927
101,BE,Helios,solar,60 MW,50.4550072,4.6755103,1325600044
102,BE,WKC Albertkanaal Diepenbeek,hydro,1.2 MW,50.9374162,5.4301338,1330668771
103,BE,Centrale électrique de Cierreux,hydro,100 kWe,50.2502263,5.9131451,1331473450
104,BE,Estor-lux,battery,10 MW,49.9997108,5.6864878,1351813328
105,BE,Unnamed,solar,Unknown,50.9222038,5.4972325,1354915772
106,BE,Unnamed,solar,Unknown,50.920597,5.4980526,1354915773
107,BE,Unnamed,solar,Unknown,50.4794356,3.7887788,1365341688
108,BE,Unnamed,solar,Unknown,51.0582428,5.7488367,1367294017
109,BE,Unnamed,solar,Unknown,51.0595168,5.7538395,1367294018
110,BE,Unnamed,solar,Unknown,51.0602894,5.7569769,1367294019
111,BE,Unnamed,solar,Unknown,51.0601061,5.7557528,1367294020
112,BE,Unnamed,solar,Unknown,51.059355,5.753132,1367294021
113,BE,Unnamed,solar,Unknown,51.058705,5.7525136,1367294022
114,BE,Unnamed,solar,Unknown,51.0582283,5.7508387,1367294023
115,BE,Unnamed,solar,Unknown,51.0609585,5.7587959,1367294024
116,BE,Unnamed,solar,Unknown,51.0606554,5.7616577,1367294025
117,BE,Unnamed,solar,Unknown,51.0598776,5.7641937,1367294026
118,BE,Unnamed,solar,Unknown,51.0606044,5.7628868,1367294027
119,BE,Unnamed,solar,Unknown,51.0600481,5.7552996,1367294028
120,BE,Unnamed,solar,Unknown,51.0583145,5.7477545,1367294029
121,BE,Unnamed,solar,yes,50.4833429,3.8747727,1371234476
122,BE,Unnamed,solar,yes,51.1197418,3.7776995,1371912425
123,BE,Unnamed,solar,yes,50.9529369,3.2217523,1388182528
124,BE,Unnamed,solar,yes,50.7302037,3.5639446,1388513788
125,BE,Avernas,solar,2603040 W,50.7126004,5.0599766,1388807501
126,BE,Centrale hydro électrique de Ronquieres,hydro,2400 kWe,50.6043587,4.2224028,1389072783
127,BE,Unnamed,solar,Unknown,51.2593372,5.0897359,1395915318
128,BE,Unnamed,solar,Unknown,51.2592927,5.0898546,1395915319
129,BE,Unnamed,solar,Unknown,51.2592712,5.0899891,1395915320
130,BE,Unnamed,solar,Unknown,51.2592202,5.0901083,1395915321
131,BE,Unnamed,solar,Unknown,51.2596332,5.0905755,1395915322
132,BE,Unnamed,solar,Unknown,51.259631,5.0906503,1395915323
133,BE,Unnamed,solar,Unknown,51.2598589,5.090642,1395915324
134,BE,Unnamed,solar,yes,51.0263624,4.1361695,1420241482
135,BE,Unnamed,solar,yes,50.9566322,3.961765,1425099586
136,BE,Unnamed,solar,Unknown,51.2762065,4.9290493,1426888979
137,BE,Unnamed,solar,yes,50.0955527,5.006615,1428964784
138,BE,Unnamed,solar,Unknown,50.8049313,4.7873032,1433880655
139,BE,WKC Albertkanaal Genk,hydro,1.2 MW,50.9366532,5.4903556,1434298140
140,BE,Albertstroom,biogas,13 MWe,51.1779425,4.7512704,1435894353
141,BE,Batterijpark TotalEnergies Antwerpen,battery,25 MW,51.2703104,4.3178129,1435898427
142,BE,Unnamed,solar,yes,51.0036323,3.846108,1436644142
143,BE,Unnamed,battery,Unknown,51.1285775,3.7946548,1442914053
144,BE,Unnamed,solar,Unknown,50.949785,5.4978072,1443881547
145,BE,Unnamed,solar,Unknown,51.0558765,3.6853697,1446773929
146,BE,Unnamed,solar,Unknown,51.056786,3.6845683,1446773930
147,BE,Unnamed,solar,Unknown,51.2134755,2.9504957,1447464306
148,BE,Unnamed,solar,Unknown,51.2142843,2.9495189,1447464308
149,BE,Unnamed,solar,Unknown,51.2150939,2.9489768,1447464309
150,BE,Unnamed,solar,Unknown,51.2153164,2.9474463,1447464310
151,BE,Unnamed,solar,yes,50.3958358,4.3514118,1450705473
152,BE,Unnamed,solar,Unknown,50.97852,5.5257104,1451944992
153,BE,Unnamed,solar,yes,51.2028313,2.877562,1452173023
154,BE,Unnamed,solar,yes,51.2032755,2.8800609,1452173024
155,BE,Unnamed,solar,yes,51.2031917,2.8854849,1452173025
156,BE,Unnamed,solar,yes,51.2039264,2.8862462,1452173028
157,BE,Unnamed,solar,yes,51.2041913,2.8899374,1452173031
158,BE,Unnamed,solar,yes,51.2043861,2.8931534,1452173032
159,BE,Unnamed,solar,yes,51.1969993,2.871168,1452173033
160,BE,Unnamed,solar,Unknown,50.9673093,5.4805111,1453292190
161,BE,Unnamed,solar,Unknown,50.9816452,5.5196751,1453828283
162,BE,Batterijpark Vilvoorde,battery,200 MW,50.9428748,4.4251622,1454484382
163,BE,Unnamed,solar,yes,50.8225551,4.2090685,1458583139
164,BE,Unnamed,solar,Unknown,50.989817,4.2112963,1460850008
165,BE,Batterijpark Ruien Energy Storage,battery,25 MW,50.7816021,3.4886254,1462383022
166,BE,Batterijpark Oostende,battery,24 MW,51.2118583,2.9781679,1462424010
167,BE,Unnamed,solar,Unknown,50.9963774,5.528657,1464545125
168,BE,Unnamed,solar,Unknown,50.9963832,5.5288043,1464545126
169,BE,Unnamed,solar,yes,51.045907,4.4505098,1466444847
170,BE,Unnamed,solar,yes,50.6869433,4.5240059,1474871320
171,BE,Unnamed,solar,yes,50.4853688,3.8614727,1481206681
172,BE,Unnamed,solar,yes,50.9148654,5.6703558,1482641220
173,BE,Unnamed,solar,yes,50.4072077,4.6456809,1484288166
174,BE,Unnamed,solar,yes,49.9205975,5.2579685,1485459608
175,BE,Batterijpark Brecht,battery,25 MW,51.3529159,4.6268934,1488612689
176,BE,Harmignies BESS,battery,75 MW,50.4152629,4.0182057,1491083900
177,BE,Battery Energy Storage System de Ville-sur-Haine,battery,50 MW,50.4699045,4.0694561,1491097112
178,BE,ENGIE Energy Storage Park,battery,6 MW,50.8030646,4.2985508,1491101734
179,BE,Unnamed,solar,Unknown,50.6768318,4.2195291,1494926448
180,BE,Unnamed,solar,yes,50.428207,3.8733449,1495378982
181,BE,Unnamed,solar,yes,50.4177993,4.3954952,1495699723
182,BE,Burgo Ardennes,solar,"9,7 MW",49.5506802,5.5082978,1495825482
183,BE,Les Géantes du Samson,wind,19.2 MW,50.4126399,5.1090545,9214804
184,BE,Parc éolien de Mesnil-Saint-Blaise,wind,11.5 MW,50.1845209,4.8777657,9394626
185,BE,Unnamed,wind,Unknown,50.8840846,2.8781586,10143677
186,BE,Parc éolien de Walhain,wind,7.05 MW,50.5978533,4.6988148,10833889
187,BE,Parc éolien d'Estinnes,wind,81 MW,50.4123257,4.0775861,12524235
188,BE,parc éolien Nike de Laakdal,wind,9 MW,51.097781,5.0889695,12524236
189,BE,Parc Eolien de Villers III,wind,Unknown,50.5980962,5.2871884,13621117
190,BE,Parc Eolien de Villers IV,wind,Unknown,50.5847694,5.2602538,13621118
191,BE,Parc Eolien de Villers II,wind,Unknown,50.5739903,5.2372219,13621144
192,BE,Parc éolien de Fauvillers,wind,10 MW,49.8724133,5.7052576,16057612
193,BE,Parc éolien de Neufchâteau-Léglise,wind,12.5 MW,49.8610835,5.5105358,16057817
194,BE,Unnamed,solar,yes,50.5916706,3.8926124,16236239
195,BE,Parc éolien de Sterpenich,wind,6 MW,49.6376227,5.8982448,18588019
196,BE,Parc éolien de Hondelange-Autelbas,wind,12 MW,49.6345569,5.8619552,18588020
197,BE,Parc éolien de Sainte-Ode,wind,12 MW,50.0247029,5.5982338,18594601
198,BE,Parc éolien de Remichampagne,wind,14.4 MW,49.9349097,5.6200576,18606724
199,BE,Parc éolien de Vaux-sur-Sûre,wind,14 MW,49.9884464,5.6654205,18607355
200,BE,Parc éolien Sainte-Ode d’Aspiravi,wind,18 MW,50.0466009,5.5788636,18610487
201,BE,Unnamed,wind,Unknown,50.0050733,5.5943442,18614186
202,BE,Parc éolien de Bourcy,wind,17.5 MW,50.053227,5.788759,18616841
203,BE,Parc éolien de Assesse,wind,10.8 MW,50.3763044,5.0018436,18618675
204,BE,Parc éolien Frameries,wind,Unknown,50.4073675,3.9344956,18646787
205,BE,Parc éolien de Cerfontaine,wind,22 MW,50.1750239,4.4941713,18647391
206,BE,Parc éolien du Pont Mack,wind,14 MW,49.9542629,5.0212613,18821018
207,BE,Parc éolien d'Achêne,wind,Unknown,50.2817776,5.0514023,18841841
208,BE,Parc éolien Yvoir-Dinant,wind,12 MW,50.2992148,4.9802246,18849451
209,BE,Unnamed,wind,Unknown,50.3043701,5.0158653,18851529
210,BE,Parc éolien de Warisoulx,wind,10 MW,50.5340583,4.8762075,18870763
211,BE,Parc éolien de Gembloux-Sombreffe,wind,9 MW,50.5438886,4.6295749,18893520
212,BE,Parc éolien de Marchovelette-Fernelmont,wind,14 MW,50.5260124,4.9266581,18901650
213,BE,Parc éolien de Héron,wind,Unknown,50.5313725,5.1032418,18905286
214,BE,Parc éolien de Tarcienne,wind,9 MW,50.3029299,4.5044472,18928845
215,BE,Solar Park The Loop,solar,5.5 MWp,51.0242802,3.6840022,19693676
216,BE,Unnamed,solar,yes,51.1680826,4.2281708,19693701
217,BE,Unnamed,solar,yes,50.9371189,5.5051001,19693702
218,BE,Unnamed,solar,yes,50.9290768,5.5190072,19693705
219,BE,Unnamed,solar,yes,50.8802382,4.2506968,19693706
220,BE,Unnamed,solar,yes,50.9003918,4.7118925,19859946
221,BE,Unnamed,solar,yes,50.9523066,4.7351525,19860548
222,BE,Biométhanisation,biogas,yes,50.6830585,5.6466988,20233628
223,BE,Parc éolien Tournai-Antoing-Brunehaut,wind,Unknown,50.5652333,3.3994696,20242126
224,BE,Parc éolien de Gouy-lez-Piéton,wind,29 MW,50.487335,4.3542689,20284738
225,BE,Unnamed,solar,31 MW,50.4796752,3.9999774,20367274
